lottery_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33
3064,2,4,1,1,1,1,15,1,1,16,6,1,9,1,1,6,4,5,2,2,1,33,12,7,7,8,13,3,8,1,7,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3065,3,5,4,1,2,1,16,1,2,17,7,1,10,2,1,1,1,6,3,3,2,34,13,8,8,9,14,4,9,1,8,3,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
3066,4,6,1,2,3,1,1,1,3,18,8,2,11,3,1,1,1,7,4,1,3,35,14,1,9,10,15,5,10,1,9,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
3067,5,7,1,3,1,2,1,1,4,19,1,1,1,4,2,2,2,8,5,1,4,36,15,1,10,11,1,6,11,2,1,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1
3068,6,8,2,1,1,3,2,2,1,20,1,1,1,5,3,3,3,9,1,2,5,37,16,2,1,12,1,7,12,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
3069,7,9,1,5,2,4,1,3,1,21,1,2,2,6,4,1,4,10,1,3,6,38,17,3,1,1,1,1,13,4,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3070,1,1,4,1,3,5,1,4,2,22,1,3,3,7,5,1,1,1,1,4,7,39,18,4,2,1,2,1,14,5,3,2,2,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3071,1,1,5,1,4,1,2,5,1,23,1,1,4,1,1,2,1,1,1,5,8,40,19,5,3,2,3,2,15,6,4,3,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3072,2,1,1,2,1,1,3,1,1,24,1,1,5,1,1,3,2,2,1,6,9,41,20,6,4,3,1,3,16,7,5,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
3073,3,1,1,3,6,1,4,1,2,25,1,1,6,1,2,4,3,3,1,7,1,42,1,7,5,4,1,4,17,1,6,5,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
3074,4,1,2,1,7,2,5,2,3,26,2,1,7,1,3,5,4,4,1,8,1,1,1,8,6,5,1,5,18,1,7,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
